id,contract_name,monetary_comp,other_comp,created_by,token,tasks_count,created_at,updated_at,description,status
81,Product Giveaway,5058.00,Gift cards,75,,,2025-02-28 02:18:54 UTC,2025-03-22 09:18:21 UTC,"Product Giveaway involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
82,Training Session,10655.00,Free apparel,53,,,2025-09-28 14:52:01 UTC,2025-10-10 04:18:31 UTC,"Training Session involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Complete
83,Podcast Feature,1796.00,Brand gear,16,,,2025-09-19 11:51:59 UTC,2025-09-26 14:35:26 UTC,"Podcast Feature involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Complete
84,Autograph Signing,3811.00,Performance bonus,22,,,2025-02-25 13:35:32 UTC,2025-08-25 23:57:07 UTC,"Autograph Signing involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
85,Product Giveaway,3605.00,Performance bonus,84,,,2025-05-05 03:24:15 UTC,2025-06-06 18:31:12 UTC,"Product Giveaway involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
86,Pop-Up Event,1285.00,Performance bonus,89,,,2025-09-26 06:29:35 UTC,2025-09-27 09:54:30 UTC,"Pop-Up Event involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
87,Product Giveaway,9559.00,Brand gear,43,,,2025-10-20 01:51:19 UTC,2025-10-31 20:12:58 UTC,"Product Giveaway involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
88,Store Appearance,13005.00,Brand gear,43,,,2025-08-06 04:19:06 UTC,2025-11-15 04:28:18 UTC,"Store Appearance involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Complete
89,Podcast Feature,1882.00,Free apparel,78,,,2025-06-12 18:00:55 UTC,2025-12-11 05:11:50 UTC,"Podcast Feature involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
90,Photo Shoot,4719.00,Free apparel,16,,,2025-12-05 01:11:09 UTC,2025-12-12 10:17:37 UTC,"Photo Shoot involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
91,Product Giveaway,12810.00,Performance bonus,65,,,2025-06-01 15:46:17 UTC,2025-08-17 08:36:24 UTC,"Product Giveaway involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
92,Product Giveaway,13145.00,Gift cards,27,,,2025-12-14 00:09:43 UTC,2025-12-21 13:29:33 UTC,"Product Giveaway involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Complete
93,Product Giveaway,6558.00,Gift cards,5,,,2025-10-13 15:50:33 UTC,2025-12-06 11:32:00 UTC,"Product Giveaway involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
94,Store Appearance,3120.00,Free apparel,12,,,2025-03-08 02:09:11 UTC,2025-08-25 03:59:05 UTC,"Store Appearance involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
95,Social Media Campaign,11062.00,Brand gear,93,,,2025-01-25 04:20:07 UTC,2025-04-11 18:03:53 UTC,"Social Media Campaign involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
96,Video Shoutout,1201.00,Gift cards,14,,,2025-04-08 22:06:21 UTC,2025-12-26 18:35:05 UTC,"Video Shoutout involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
97,Autograph Signing,10875.00,Gift cards,74,,,2025-08-13 09:37:15 UTC,2025-10-28 07:17:50 UTC,"Autograph Signing involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
98,Training Session,3553.00,Free apparel,14,,,2025-03-27 04:20:44 UTC,2025-06-10 21:35:51 UTC,"Training Session involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
99,Store Appearance,8951.00,Gift cards,28,,,2025-03-02 09:27:30 UTC,2025-07-14 01:50:23 UTC,"Store Appearance involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Complete
100,Merch Drop,4591.00,Free travel and lodging,72,,,2025-08-12 16:36:29 UTC,2025-10-30 08:46:44 UTC,"Merch Drop involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
