id,contract_id,task_name,description,created_by,deadline,completion_status,completed_on,assigned_to,created_at,updated_at
26,8,Create Unboxing Video,Create Unboxing Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,96,2025-04-06,FALSE,,109,2025-03-15 03:22:33 UTC,2025-05-19 05:13:22 UTC
27,9,Upload Signed Documents,Upload Signed Documents related to the deliverables of the contract. Must be completed as part of promotional requirements.,42,2025-05-27,FALSE,,151,2025-05-05 20:34:46 UTC,2025-05-28 04:41:56 UTC
28,9,Upload Signed Documents,Upload Signed Documents related to the deliverables of the contract. Must be completed as part of promotional requirements.,42,2025-11-29,FALSE,,151,2025-11-26 23:03:31 UTC,2025-12-15 23:48:48 UTC
29,10,Create Unboxing Video,Create Unboxing Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,36,2025-04-21,TRUE,2025-04-21,176,2025-04-20 05:50:27 UTC,2025-10-23 22:19:50 UTC
30,10,Post Instagram Story,Post Instagram Story related to the deliverables of the contract. Must be completed as part of promotional requirements.,36,2025-04-08,TRUE,2025-04-08,176,2025-03-27 20:49:15 UTC,2025-04-23 00:09:51 UTC
31,10,Send Brand Content,Send Brand Content related to the deliverables of the contract. Must be completed as part of promotional requirements.,36,2025-05-15,FALSE,,176,2025-04-26 18:04:22 UTC,2025-07-02 05:26:08 UTC
32,11,Join Zoom Training,Join Zoom Training related to the deliverables of the contract. Must be completed as part of promotional requirements.,97,2025-07-10,TRUE,2025-07-10,182,2025-06-10 23:49:46 UTC,2025-12-25 17:55:47 UTC
33,11,Send Brand Content,Send Brand Content related to the deliverables of the contract. Must be completed as part of promotional requirements.,97,2025-03-13,TRUE,2025-03-13,182,2025-03-08 07:45:10 UTC,2025-07-05 11:19:43 UTC
34,11,Post Instagram Story,Post Instagram Story related to the deliverables of the contract. Must be completed as part of promotional requirements.,97,2025-12-01,FALSE,,182,2025-11-04 20:22:30 UTC,2025-11-11 17:51:18 UTC
35,11,Publish TikTok Video,Publish TikTok Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,97,2025-12-24,FALSE,,182,2025-11-30 16:22:50 UTC,2025-12-13 16:53:33 UTC
36,12,Join Zoom Training,Join Zoom Training related to the deliverables of the contract. Must be completed as part of promotional requirements.,43,2025-04-28,FALSE,,200,2025-04-18 04:36:51 UTC,2025-09-20 00:46:54 UTC
37,12,Join Zoom Training,Join Zoom Training related to the deliverables of the contract. Must be completed as part of promotional requirements.,43,2025-02-03,FALSE,,200,2025-01-26 16:40:34 UTC,2025-11-16 13:18:53 UTC
38,12,Review Product Brief,Review Product Brief related to the deliverables of the contract. Must be completed as part of promotional requirements.,43,2025-11-01,FALSE,,200,2025-10-13 11:11:50 UTC,2025-10-29 22:37:46 UTC
39,12,Join Zoom Training,Join Zoom Training related to the deliverables of the contract. Must be completed as part of promotional requirements.,43,2025-06-16,FALSE,,200,2025-05-17 16:27:52 UTC,2025-09-09 20:13:25 UTC
40,13,Tweet Brand Mention,Tweet Brand Mention related to the deliverables of the contract. Must be completed as part of promotional requirements.,82,2025-09-08,FALSE,,180,2025-08-12 12:24:40 UTC,2025-08-14 16:21:32 UTC
41,13,Tweet Brand Mention,Tweet Brand Mention related to the deliverables of the contract. Must be completed as part of promotional requirements.,82,2025-11-12,TRUE,2025-11-12,180,2025-10-13 07:09:02 UTC,2025-12-26 07:19:59 UTC
42,13,Post Instagram Story,Post Instagram Story related to the deliverables of the contract. Must be completed as part of promotional requirements.,82,2025-06-30,TRUE,2025-06-30,180,2025-06-08 16:50:32 UTC,2025-07-08 11:39:33 UTC
43,14,Send Brand Content,Send Brand Content related to the deliverables of the contract. Must be completed as part of promotional requirements.,89,2025-05-28,FALSE,,152,2025-05-21 18:44:23 UTC,2025-08-08 04:21:19 UTC
44,14,Publish TikTok Video,Publish TikTok Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,89,2025-09-27,FALSE,,152,2025-09-02 11:10:14 UTC,2025-10-15 11:42:46 UTC
45,14,Tweet Brand Mention,Tweet Brand Mention related to the deliverables of the contract. Must be completed as part of promotional requirements.,89,2025-07-09,FALSE,,152,2025-06-24 03:19:09 UTC,2025-08-03 17:20:11 UTC
46,15,Review Product Brief,Review Product Brief related to the deliverables of the contract. Must be completed as part of promotional requirements.,52,2025-12-01,FALSE,,178,2025-11-16 08:03:53 UTC,2025-11-29 04:07:56 UTC
47,15,Review Product Brief,Review Product Brief related to the deliverables of the contract. Must be completed as part of promotional requirements.,52,2025-09-19,TRUE,2025-09-19,178,2025-09-01 03:25:18 UTC,2025-09-12 09:42:04 UTC
48,15,Review Product Brief,Review Product Brief related to the deliverables of the contract. Must be completed as part of promotional requirements.,52,2025-07-17,FALSE,,178,2025-07-04 12:06:13 UTC,2025-10-05 14:10:47 UTC
49,16,Review Product Brief,Review Product Brief related to the deliverables of the contract. Must be completed as part of promotional requirements.,85,2025-09-11,FALSE,,149,2025-09-01 01:36:48 UTC,2025-11-10 19:58:26 UTC
50,16,Review Product Brief,Review Product Brief related to the deliverables of the contract. Must be completed as part of promotional requirements.,85,2025-12-11,FALSE,,149,2025-11-14 22:49:16 UTC,2025-12-06 01:33:20 UTC
51,17,Publish TikTok Video,Publish TikTok Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,24,2025-11-25,FALSE,,185,2025-11-15 06:19:39 UTC,2025-12-09 04:44:17 UTC
52,17,Publish TikTok Video,Publish TikTok Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,24,2025-01-13,TRUE,2025-01-13,185,2025-01-01 16:13:12 UTC,2025-03-24 01:06:09 UTC
53,18,Post Instagram Story,Post Instagram Story related to the deliverables of the contract. Must be completed as part of promotional requirements.,79,2025-08-11,TRUE,2025-08-11,114,2025-07-14 16:12:30 UTC,2025-10-20 15:44:57 UTC
54,18,Upload Signed Documents,Upload Signed Documents related to the deliverables of the contract. Must be completed as part of promotional requirements.,79,2025-01-21,TRUE,2025-01-21,114,2025-01-14 00:27:42 UTC,2025-09-07 09:33:55 UTC
55,19,Tweet Brand Mention,Tweet Brand Mention related to the deliverables of the contract. Must be completed as part of promotional requirements.,95,2026-01-01,TRUE,2026-01-01,123,2025-12-23 14:34:20 UTC,2025-12-28 16:36:07 UTC
56,19,Attend Event,Attend Event related to the deliverables of the contract. Must be completed as part of promotional requirements.,95,2025-02-16,FALSE,,123,2025-01-30 00:22:55 UTC,2025-06-11 15:47:12 UTC
57,19,Tweet Brand Mention,Tweet Brand Mention related to the deliverables of the contract. Must be completed as part of promotional requirements.,95,2025-06-29,FALSE,,123,2025-06-20 17:32:06 UTC,2025-11-18 05:51:30 UTC
58,20,Post Instagram Story,Post Instagram Story related to the deliverables of the contract. Must be completed as part of promotional requirements.,13,2025-10-17,TRUE,2025-10-17,181,2025-09-24 08:40:05 UTC,2025-11-21 03:43:17 UTC
59,20,Create Unboxing Video,Create Unboxing Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,13,2025-07-06,TRUE,2025-07-06,181,2025-06-13 01:33:08 UTC,2025-10-26 08:56:29 UTC
60,21,Send Brand Content,Send Brand Content related to the deliverables of the contract. Must be completed as part of promotional requirements.,94,2025-02-11,TRUE,2025-02-11,174,2025-01-16 19:37:04 UTC,2025-06-27 01:04:04 UTC
61,21,Publish TikTok Video,Publish TikTok Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,94,2025-10-19,FALSE,,174,2025-10-04 17:58:55 UTC,2025-11-30 00:31:27 UTC
62,21,Attend Event,Attend Event related to the deliverables of the contract. Must be completed as part of promotional requirements.,94,2025-02-10,FALSE,,174,2025-01-20 13:07:56 UTC,2025-06-22 01:34:13 UTC
63,21,Send Brand Content,Send Brand Content related to the deliverables of the contract. Must be completed as part of promotional requirements.,94,2025-07-25,FALSE,,174,2025-07-20 00:11:57 UTC,2025-08-05 03:50:58 UTC
64,22,Attend Event,Attend Event related to the deliverables of the contract. Must be completed as part of promotional requirements.,93,2025-01-29,TRUE,2025-01-29,172,2025-01-10 01:30:49 UTC,2025-10-11 07:26:05 UTC
65,22,Tweet Brand Mention,Tweet Brand Mention related to the deliverables of the contract. Must be completed as part of promotional requirements.,93,2025-03-27,FALSE,,172,2025-03-13 05:30:03 UTC,2025-12-19 12:17:51 UTC
66,22,Post Instagram Story,Post Instagram Story related to the deliverables of the contract. Must be completed as part of promotional requirements.,93,2025-08-03,TRUE,2025-08-03,172,2025-07-09 10:29:36 UTC,2025-10-07 07:00:35 UTC
67,22,Send Brand Content,Send Brand Content related to the deliverables of the contract. Must be completed as part of promotional requirements.,93,2025-11-09,TRUE,2025-11-09,172,2025-10-29 00:21:50 UTC,2025-11-22 13:44:18 UTC
68,23,Upload Signed Documents,Upload Signed Documents related to the deliverables of the contract. Must be completed as part of promotional requirements.,94,2025-07-19,FALSE,,153,2025-07-07 02:21:22 UTC,2025-10-20 09:11:27 UTC
69,23,Attend Event,Attend Event related to the deliverables of the contract. Must be completed as part of promotional requirements.,94,2025-04-24,TRUE,2025-04-24,153,2025-04-19 19:05:30 UTC,2025-06-07 16:56:50 UTC
70,23,Upload Signed Documents,Upload Signed Documents related to the deliverables of the contract. Must be completed as part of promotional requirements.,94,2025-10-31,FALSE,,153,2025-10-25 21:12:59 UTC,2025-11-08 19:39:39 UTC
71,23,Review Product Brief,Review Product Brief related to the deliverables of the contract. Must be completed as part of promotional requirements.,94,2025-09-10,FALSE,,153,2025-08-28 09:32:56 UTC,2025-10-25 16:16:54 UTC
72,24,Tweet Brand Mention,Tweet Brand Mention related to the deliverables of the contract. Must be completed as part of promotional requirements.,4,2025-06-23,FALSE,,106,2025-06-12 05:27:03 UTC,2025-08-18 11:58:47 UTC
73,24,Tweet Brand Mention,Tweet Brand Mention related to the deliverables of the contract. Must be completed as part of promotional requirements.,4,2025-08-07,TRUE,2025-08-07,106,2025-07-11 13:36:37 UTC,2025-09-19 02:25:11 UTC
74,24,Create Unboxing Video,Create Unboxing Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,4,2025-05-01,FALSE,,106,2025-04-16 07:16:18 UTC,2025-07-07 04:28:05 UTC
75,25,Send Brand Content,Send Brand Content related to the deliverables of the contract. Must be completed as part of promotional requirements.,75,2025-01-16,FALSE,,165,2025-01-01 13:18:36 UTC,2025-03-12 14:25:58 UTC
76,25,Tweet Brand Mention,Tweet Brand Mention related to the deliverables of the contract. Must be completed as part of promotional requirements.,75,2025-02-19,TRUE,2025-02-19,165,2025-01-27 14:08:19 UTC,2025-06-26 12:53:19 UTC
77,25,Create Unboxing Video,Create Unboxing Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,75,2025-01-22,FALSE,,165,2025-01-02 22:19:49 UTC,2025-05-01 13:02:16 UTC
78,25,Publish TikTok Video,Publish TikTok Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,75,2025-11-06,FALSE,,165,2025-11-04 15:28:49 UTC,2025-12-01 06:13:39 UTC
79,26,Attend Event,Attend Event related to the deliverables of the contract. Must be completed as part of promotional requirements.,29,2025-06-29,TRUE,2025-06-29,155,2025-06-14 04:26:12 UTC,2025-10-23 03:06:56 UTC
80,26,Create Unboxing Video,Create Unboxing Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,29,2025-05-26,FALSE,,155,2025-04-27 04:34:41 UTC,2025-07-02 05:13:31 UTC
81,27,Publish TikTok Video,Publish TikTok Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,89,2025-07-17,TRUE,2025-07-17,170,2025-06-28 18:29:47 UTC,2025-08-25 05:51:56 UTC
82,27,Publish TikTok Video,Publish TikTok Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,89,2026-01-04,TRUE,2026-01-04,170,2025-12-23 05:00:10 UTC,2025-12-26 12:32:23 UTC
83,27,Review Product Brief,Review Product Brief related to the deliverables of the contract. Must be completed as part of promotional requirements.,89,2025-11-24,FALSE,,170,2025-11-16 15:42:54 UTC,2025-12-01 15:57:30 UTC
84,28,Review Product Brief,Review Product Brief related to the deliverables of the contract. Must be completed as part of promotional requirements.,47,2025-12-17,TRUE,2025-12-17,144,2025-11-22 21:01:00 UTC,2025-12-29 04:16:54 UTC
85,28,Create Unboxing Video,Create Unboxing Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,47,2025-11-06,TRUE,2025-11-06,144,2025-10-17 17:29:27 UTC,2025-12-04 10:35:20 UTC
86,29,Create Unboxing Video,Create Unboxing Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,65,2025-12-29,TRUE,2025-12-29,136,2025-12-03 15:25:09 UTC,2025-12-16 02:41:37 UTC
87,29,Review Product Brief,Review Product Brief related to the deliverables of the contract. Must be completed as part of promotional requirements.,65,2025-09-21,FALSE,,136,2025-09-13 09:28:34 UTC,2025-11-04 07:16:04 UTC
88,30,Attend Event,Attend Event related to the deliverables of the contract. Must be completed as part of promotional requirements.,10,2025-09-19,FALSE,,130,2025-09-12 16:36:08 UTC,2025-09-18 07:31:53 UTC
89,30,Create Unboxing Video,Create Unboxing Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,10,2025-02-28,TRUE,2025-02-28,130,2025-02-23 11:15:15 UTC,2025-07-12 17:11:30 UTC
90,31,Attend Event,Attend Event related to the deliverables of the contract. Must be completed as part of promotional requirements.,11,2025-04-13,TRUE,2025-04-13,183,2025-03-25 12:38:15 UTC,2025-07-12 09:38:35 UTC
91,31,Post Instagram Story,Post Instagram Story related to the deliverables of the contract. Must be completed as part of promotional requirements.,11,2025-03-05,FALSE,,183,2025-02-23 04:36:19 UTC,2025-07-04 01:31:55 UTC
92,31,Attend Event,Attend Event related to the deliverables of the contract. Must be completed as part of promotional requirements.,11,2025-02-05,FALSE,,183,2025-02-01 10:09:32 UTC,2025-11-22 23:40:12 UTC
93,32,Upload Signed Documents,Upload Signed Documents related to the deliverables of the contract. Must be completed as part of promotional requirements.,80,2025-11-11,TRUE,2025-11-11,170,2025-11-02 20:25:42 UTC,2025-12-07 19:12:21 UTC
94,32,Join Zoom Training,Join Zoom Training related to the deliverables of the contract. Must be completed as part of promotional requirements.,80,2025-11-06,FALSE,,170,2025-10-13 02:03:35 UTC,2025-10-17 14:29:33 UTC
95,32,Publish TikTok Video,Publish TikTok Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,80,2025-06-26,FALSE,,170,2025-06-12 21:23:06 UTC,2025-08-11 01:43:45 UTC
96,33,Tweet Brand Mention,Tweet Brand Mention related to the deliverables of the contract. Must be completed as part of promotional requirements.,85,2025-11-12,TRUE,2025-11-12,112,2025-10-31 09:06:20 UTC,2025-12-27 04:57:59 UTC
97,33,Post Instagram Story,Post Instagram Story related to the deliverables of the contract. Must be completed as part of promotional requirements.,85,2025-01-31,TRUE,2025-01-31,112,2025-01-05 04:35:21 UTC,2025-07-22 17:52:48 UTC
98,33,Upload Signed Documents,Upload Signed Documents related to the deliverables of the contract. Must be completed as part of promotional requirements.,85,2025-07-04,TRUE,2025-07-04,112,2025-06-21 18:47:59 UTC,2025-11-21 16:22:04 UTC
99,33,Tweet Brand Mention,Tweet Brand Mention related to the deliverables of the contract. Must be completed as part of promotional requirements.,85,2025-11-24,FALSE,,112,2025-11-13 20:09:50 UTC,2025-11-27 03:51:17 UTC
100,34,Post Instagram Story,Post Instagram Story related to the deliverables of the contract. Must be completed as part of promotional requirements.,56,2025-03-13,FALSE,,140,2025-02-12 01:11:22 UTC,2025-08-13 08:45:20 UTC
101,34,Tweet Brand Mention,Tweet Brand Mention related to the deliverables of the contract. Must be completed as part of promotional requirements.,56,2025-08-03,TRUE,2025-08-03,140,2025-07-30 07:32:36 UTC,2025-10-25 10:50:21 UTC
102,35,Send Brand Content,Send Brand Content related to the deliverables of the contract. Must be completed as part of promotional requirements.,35,2025-12-17,TRUE,2025-12-17,186,2025-12-03 06:13:53 UTC,2025-12-10 20:14:14 UTC
103,35,Send Brand Content,Send Brand Content related to the deliverables of the contract. Must be completed as part of promotional requirements.,35,2025-01-29,TRUE,2025-01-29,186,2025-01-06 19:00:58 UTC,2025-05-31 10:15:32 UTC
104,35,Join Zoom Training,Join Zoom Training related to the deliverables of the contract. Must be completed as part of promotional requirements.,35,2025-03-22,FALSE,,186,2025-02-22 22:25:37 UTC,2025-08-28 21:32:01 UTC
105,36,Join Zoom Training,Join Zoom Training related to the deliverables of the contract. Must be completed as part of promotional requirements.,21,2025-05-19,TRUE,2025-05-19,140,2025-04-30 18:09:36 UTC,2025-09-27 01:52:48 UTC
106,36,Tweet Brand Mention,Tweet Brand Mention related to the deliverables of the contract. Must be completed as part of promotional requirements.,21,2025-06-11,TRUE,2025-06-11,140,2025-05-16 15:44:09 UTC,2025-10-28 19:25:46 UTC
107,36,Tweet Brand Mention,Tweet Brand Mention related to the deliverables of the contract. Must be completed as part of promotional requirements.,21,2025-06-27,TRUE,2025-06-27,140,2025-06-17 12:02:16 UTC,2025-07-18 10:39:59 UTC
108,37,Review Product Brief,Review Product Brief related to the deliverables of the contract. Must be completed as part of promotional requirements.,69,2025-11-05,TRUE,2025-11-05,161,2025-10-20 02:21:46 UTC,2025-11-02 16:37:09 UTC
109,37,Upload Signed Documents,Upload Signed Documents related to the deliverables of the contract. Must be completed as part of promotional requirements.,69,2025-04-28,TRUE,2025-04-28,161,2025-04-26 04:44:58 UTC,2025-06-26 09:46:15 UTC
110,38,Publish TikTok Video,Publish TikTok Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,46,2025-11-05,TRUE,2025-11-05,145,2025-10-08 20:05:21 UTC,2025-11-09 11:32:16 UTC
111,38,Send Brand Content,Send Brand Content related to the deliverables of the contract. Must be completed as part of promotional requirements.,46,2025-12-09,FALSE,,145,2025-11-16 03:32:33 UTC,2025-12-08 09:54:08 UTC
112,38,Tweet Brand Mention,Tweet Brand Mention related to the deliverables of the contract. Must be completed as part of promotional requirements.,46,2025-09-03,FALSE,,145,2025-08-18 16:24:36 UTC,2025-10-10 16:03:05 UTC
113,39,Send Brand Content,Send Brand Content related to the deliverables of the contract. Must be completed as part of promotional requirements.,25,2025-09-02,FALSE,,153,2025-08-20 05:48:57 UTC,2025-10-15 02:34:06 UTC
114,39,Create Unboxing Video,Create Unboxing Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,25,2025-06-08,FALSE,,153,2025-05-15 14:13:15 UTC,2025-06-27 18:59:10 UTC
115,39,Tweet Brand Mention,Tweet Brand Mention related to the deliverables of the contract. Must be completed as part of promotional requirements.,25,2025-05-23,FALSE,,153,2025-05-01 22:09:26 UTC,2025-12-20 10:43:41 UTC
116,40,Review Product Brief,Review Product Brief related to the deliverables of the contract. Must be completed as part of promotional requirements.,11,2025-08-27,FALSE,,153,2025-08-17 07:42:31 UTC,2025-11-27 15:53:28 UTC
117,40,Post Instagram Story,Post Instagram Story related to the deliverables of the contract. Must be completed as part of promotional requirements.,11,2025-07-23,TRUE,2025-07-23,153,2025-07-04 01:16:21 UTC,2025-10-22 02:11:36 UTC
118,41,Post Instagram Story,Post Instagram Story related to the deliverables of the contract. Must be completed as part of promotional requirements.,63,2025-02-12,FALSE,,189,2025-01-28 14:49:07 UTC,2025-12-15 01:46:08 UTC
119,41,Post Instagram Story,Post Instagram Story related to the deliverables of the contract. Must be completed as part of promotional requirements.,63,2025-10-21,TRUE,2025-10-21,189,2025-10-12 13:54:26 UTC,2025-10-27 05:13:34 UTC
120,41,Upload Signed Documents,Upload Signed Documents related to the deliverables of the contract. Must be completed as part of promotional requirements.,63,2025-02-18,TRUE,2025-02-18,189,2025-01-23 02:16:29 UTC,2025-07-22 02:04:22 UTC
121,41,Post Instagram Story,Post Instagram Story related to the deliverables of the contract. Must be completed as part of promotional requirements.,63,2025-12-16,TRUE,2025-12-16,189,2025-11-19 19:08:32 UTC,2025-12-30 22:43:09 UTC
122,42,Create Unboxing Video,Create Unboxing Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,52,2025-05-28,TRUE,2025-05-28,189,2025-05-24 03:40:00 UTC,2025-06-21 10:14:41 UTC
123,42,Join Zoom Training,Join Zoom Training related to the deliverables of the contract. Must be completed as part of promotional requirements.,52,2025-06-02,FALSE,,189,2025-05-03 08:25:24 UTC,2025-09-05 06:26:28 UTC
124,43,Send Brand Content,Send Brand Content related to the deliverables of the contract. Must be completed as part of promotional requirements.,52,2025-02-24,TRUE,2025-02-24,102,2025-01-27 19:00:26 UTC,2025-10-27 12:46:33 UTC
125,43,Send Brand Content,Send Brand Content related to the deliverables of the contract. Must be completed as part of promotional requirements.,52,2025-03-16,TRUE,2025-03-16,102,2025-03-08 14:20:18 UTC,2025-10-29 16:45:15 UTC
126,43,Tweet Brand Mention,Tweet Brand Mention related to the deliverables of the contract. Must be completed as part of promotional requirements.,52,2025-03-30,TRUE,2025-03-30,102,2025-03-21 15:48:05 UTC,2025-11-29 07:06:22 UTC
127,44,Post Instagram Story,Post Instagram Story related to the deliverables of the contract. Must be completed as part of promotional requirements.,34,2025-11-03,TRUE,2025-11-03,101,2025-10-10 14:13:02 UTC,2025-10-31 08:10:29 UTC
128,44,Post Instagram Story,Post Instagram Story related to the deliverables of the contract. Must be completed as part of promotional requirements.,34,2025-06-29,FALSE,,101,2025-06-07 14:03:55 UTC,2025-11-05 07:32:04 UTC
129,44,Create Unboxing Video,Create Unboxing Video related to the deliverables of the contract. Must be completed as part of promotional requirements.,34,2025-07-17,TRUE,2025-07-17,101,2025-06-20 23:18:02 UTC,2025-11-05 07:43:23 UTC
130,44,Review Product Brief,Review Product Brief related to the deliverables of the contract. Must be completed as part of promotional requirements.,34,2025-10-31,FALSE,,101,2025-10-01 18:15:43 UTC,2025-11-02 06:38:28 UTC
131,45,Join Zoom Training,Join Zoom Training related to the deliverables of the contract. Must be completed as part of promotional requirements.,85,2025-08-22,FALSE,,143,2025-08-11 09:55:00 UTC,2025-10-25 23:46:25 UTC
132,45,Send Brand Content,Send Brand Content related to the deliverables of the contract. Must be completed as part of promotional requirements.,85,2025-02-22,TRUE,2025-02-22,143,2025-02-18 11:02:31 UTC,2025-07-22 18:08:42 UTC
133,46,Join Zoom Training,Join Zoom Training related to the deliverables of the contract. Must be completed as part of promotional requirements.,45,2025-04-20,FALSE,,199,2025-03-25 11:29:40 UTC,2025-07-13 02:43:35 UTC
134,46,Send Brand Content,Send Brand Content related to the deliverables of the contract. Must be completed as part of promotional requirements.,45,2025-06-18,TRUE,2025-06-18,199,2025-05-21 19:01:59 UTC,2025-08-24 09:19:19 UTC
